iter	Passed	Remaining
0	34	34893
1	66	33318
2	100	33246
3	136	33957
4	169	33738
5	201	33442
6	236	33599
7	273	33955
8	309	34081
9	351	34753
10	389	35063
11	426	35075
12	462	35118
13	501	35314
14	539	35400
15	574	35350
16	616	35651
17	655	35766
18	699	36130
19	734	35971
20	780	36404
21	818	36404
22	866	36815
23	919	37380
24	963	37588
25	1014	38005
26	1048	37797
27	1090	37859
28	1130	37855
29	1174	37963
30	1225	38309
31	1262	38193
32	1300	38102
33	1334	37913
34	1373	37865
35	1412	37817
36	1455	37893
37	1496	37890
38	1541	37985
39	1584	38030
40	1623	37981
41	1661	37889
42	1700	37841
43	1734	37695
44	1769	37548
45	1807	37477
46	1850	37511
47	1889	37472
48	1927	37402
49	1967	37376
50	2002	37266
51	2043	37250
52	2085	37259
53	2123	37194
54	2162	37161
55	2199	37085
56	2239	37056
57	2283	37094
58	2324	37078
59	2364	37039
60	2402	36988
61	2439	36909
62	2483	36934
63	2530	37002
64	2576	37056
65	2620	37088
66	2666	37131
67	2709	37135
68	2754	37167
69	2801	37213
70	2840	37171
71	2890	37251
72	2934	37262
73	2992	37441
74	3037	37465
75	3079	37442
76	3119	37396
77	3164	37408
78	3211	37442
79	3254	37423
80	3314	37608
81	3363	37652
82	3412	37705
83	3458	37709
84	3500	37677
85	3537	37594
86	3579	37560
87	3626	37588
88	3670	37572
89	3712	37534
90	3761	37569
91	3801	37520
92	3841	37467
93	3879	37390
94	3920	37349
95	3964	37329
96	4001	37248
97	4042	37204
98	4079	37128
99	4118	37063
100	4162	37052
101	4204	37013
102	4241	36939
103	4280	36877
104	4318	36805
105	4358	36756
106	4393	36668
107	4432	36612
108	4482	36639
109	4519	36568
110	4561	36530
111	4596	36447
112	4650	36500
113	4689	36444
114	4729	36396
115	4772	36366
116	4808	36291
117	4853	36277
118	4891	36215
119	4928	36139
120	4967	36083
121	5008	36044
122	5044	35967
123	5084	35921
124	5128	35902
125	5165	35829
126	5194	35709
127	5224	35592
128	5257	35497
129	5294	35434
130	5329	35355
131	5359	35243
132	5393	35160
133	5430	35096
134	5464	35012
135	5500	34942
136	5532	34853
137	5566	34771
138	5599	34687
139	5642	34662
140	5682	34620
141	5725	34595
142	5762	34533
143	5796	34457
144	5830	34377
145	5864	34301
146	5898	34229
147	5935	34168
148	5969	34096
149	6002	34016
150	6034	33926
151	6069	33861
152	6105	33797
153	6136	33713
154	6168	33628
155	6199	33542
156	6232	33466
157	6267	33399
158	6304	33344
159	6337	33272
160	6366	33175
161	6405	33132
162	6443	33085
163	6480	33032
164	6516	32975
165	6548	32901
166	6581	32827
167	6616	32768
168	6648	32689
169	6678	32608
170	6712	32543
171	6744	32468
172	6788	32451
173	6830	32427
174	6872	32399
175	6914	32374
176	6948	32308
177	6980	32237
178	7010	32154
179	7042	32083
180	7075	32014
181	7108	31950
182	7140	31877
183	7174	31815
184	7210	31766
185	7243	31699
186	7273	31623
187	7307	31560
188	7337	31483
189	7366	31404
190	7398	31335
191	7429	31265
192	7460	31196
193	7491	31126
194	7521	31049
195	7549	30966
196	7578	30889
197	7610	30824
198	7642	30763
199	7676	30706
200	7713	30664
201	7746	30604
202	7776	30533
203	7808	30469
204	7839	30403
205	7867	30324
206	7902	30272
207	7954	30287
208	8005	30297
209	8059	30318
210	8107	30318
211	8147	30284
212	8185	30243
213	8223	30204
214	8254	30139
215	8286	30078
216	8322	30028
217	8356	29975
218	8384	29902
219	8419	29850
220	8456	29806
221	8488	29749
222	8518	29679
223	8551	29623
224	8582	29562
225	8617	29513
226	8651	29462
227	8685	29410
228	8715	29342
229	8743	29272
230	8775	29214
231	8812	29173
232	8846	29120
233	8880	29068
234	8910	29007
235	8951	28978
236	8985	28928
237	9020	28880
238	9062	28854
239	9117	28872
240	9172	28888
241	9229	28910
242	9261	28852
243	9296	28804
244	9332	28758
245	9369	28717
246	9419	28715
247	9463	28695
248	9501	28656
249	9537	28612
250	9573	28567
251	9613	28534
252	9648	28489
253	9684	28443
254	9725	28413
255	9760	28366
256	9800	28333
257	9833	28281
258	9868	28232
259	9906	28196
260	9948	28167
261	9989	28137
262	10026	28098
263	10079	28099
264	10119	28068
265	10155	28023
266	10196	27992
267	10233	27949
268	10284	27946
269	10335	27943
270	10391	27952
271	10435	27931
272	10489	27934
273	10543	27935
274	10592	27926
